,,,,,,
,No.,text ,username,timestamp,link,Label by Human
,11,"ChatGPT + laptop + internet connection + 60 minutes per day = $9500 every month.

I normally sell this guide for $81, but for the next 48 hours, it’s yours 100% FREE.

To get: -

1. Follow me (So I can DM you )
2. Retweet
3. Reply "" Ai ""

Must follow me to get DM. Free for 48 hours",Rajesh Agarwal,"12:13 AM · Nov 18, 2025",https://x.com/Rajesh992510253/status/1990649502861054384?s=20,2
,12,"if you make a youtube channel right now, you'll make $2,997.80 this month

it's not luck and costs nothing to start

Retweet & Reply with ""Need"" and I'll send you a free guide to help you get started

(must be following so I can DM)",Zulkar Naim,"10:41 PM · Nov 17, 2025",https://x.com/zulkarnaimx/status/1990626395048063207?s=20,2
,13,"I make $504 a day with my AI side hustle, working 60 minutes a day.

You must have:

1. Internet
2. Mobile
3. 1 hour everyday

I am sharing my guide to help you. For today only, it's free (regularly $129).

Like, comment ""Guide"" and repost for absolutely FREE.

(Must follow, 42 hours only)",Priyansh,"10:40 PM · Nov 17, 2025",https://x.com/itspriionly/status/1990626077379862613?s=20,2
,14,"Skipped Meta entirely… now $13K/day is normal 😭

Recording this video and it’s already at 4K for the day.

Pure autopilot.

I don’t know why more people aren’t doing this 😂
Want to know how?

Like + retweet, comment “AUTOPILOT” and I’ll send it to you!",Jesper Hensgens,"5:01 PM · Nov 17, 2025",https://x.com/JesperHensgens/status/1990540745086771647?s=20,2
,15,"You can easily earn $25,555 per month if you have:

1. Internet
2. Mobile
3. 1 hour per day

I will teach you how. Get my complete guide for FREE today.

Like & reply “Free” and I’ll DM it to you.
(Must follow me to get DM)

FREE for 24 hours only.",Andrew Bolis,"10:45 AM · Nov 17, 2025",https://x.com/AndrewBolis/status/1990446117860118999?s=20,2
,16,"Earn up to $3,000 monthly with Google, but not many are aware of this opportunity.

Ready to jump in? All you need is:

→ Internet access
→ A smartphone or computer
→ Time (2-3 hours)

Want the free guide? Here’s how:
1. Like
2. Comment ""Google""

(Follow, So I'll DM you the details)","
Fatema","9:56 PM · Nov 16, 2025",https://x.com/heyfatema/status/1990252681970258154?s=20,2
,17,"Earn $27 per song you listen:

have prepared a list of 13 Websites that'll pay you $100/hr for listening the music With Just a Smartphone or Laptop and Internet.

For absolutely FREE:

To get it:

1. Follow Me
2. Like and Retweet
3. Reply with ""Send""",New Tech,"4:14 AM · Nov 18, 2025",https://x.com/Tech5353/status/1990710173707772380?s=20,2
,18,"Just made a FULL GUIDE on how you can make $600 per day with little work from anywhere in the world using ChatGPT💠

Usually, I'd charge $100 for this, but today I'm giving it away for FREE😍

To get:-💯

1. Must be follow me (So I can DM)
2. Like and comment ""send""",Flux_ai,"4:49 PM · Nov 17, 2025",https://x.com/fluxai1/status/1990537801881038917?s=20,2
,19,"Gmail has 4.2 billion active users.

But only a few know how to use it well.

10 Gmail hacks to help you make $20,000 a month.

It is FREE only for 24 hours.

To get it,
1. Like & Repost (MUST)
2. Comment ""Gmail""
3. You must be following me or I can't DM it.",Atik Rahman,"3:17 PM · Nov 17, 2025",https://x.com/atikcoder0/status/1990514683925889335?s=20,2
,20,"🚀Start Earning $799/Day With ZERO Experience!

No skills needed. No hidden costs. Just:

📱 A phone
🌐 Internet
⏰ 2 spare hours

I’ll hand you my FREE guide that shows the exact steps.

To get it:
- Like this
- Repost it
- Comment “Send”
- Must Be Follow me[
@zunayede61
]",Zunayed Evan,"8:05 AM · Nov 17, 2025",https://x.com/zunayede61/status/1990406020846252244?s=20,2
,21,"URGENT HIRING 🚨

If $50-$100 weekly is a good deal for you.

I have a Dev looking to kick start a meme project and currently hiring

- Community Managers (2),  
- Graphic Designer , 
- Chat Engagers (10)
- Shillers/Raiders too.

If interested, Reply below👇🏻 + Repost too.🚨

I would be sending a DM to just 10 best persons whose profile matches the tag ""Experienced"" for each role.

Tag a friend ✌🏻",Web3Talks 💜 | PW3,"4:35 AM · Aug 16, 2025",https://x.com/justprotocol/status/1956635966380155115?s=20,1
,22,"🚨 HIRING 100 Hungry People Looking To Make $$$🚨 

I've partnered up with an e-learning company that needs ALOT of DM salesmen  

- $5-$13K OTE 
- All Training Provided 
- Can be inexperienced or experienced

All You Need To Do:

1) Like
2) Retweet
3) Comment ""SALES""

And I'll dm all the INFO!",James Ebringer,"5:05 PM · May 12, 2024",https://x.com/JamesEbringer/status/1789763864227180806?s=20,2
,23,"Hiring closers 💸

I work with 100+ influencers who need dm closers for their offers

- free training provided
- no location requirements
- commission only

Reply ""closer"" + like + follow for more info",james,"10:40 PM · Nov 4, 2025",https://x.com/OFMCEO/status/1985915193818562792?s=20,2
,24,"We are really hiring ☎️ 

12 new team members added in less than a month with room for a lot more

Do you want to get a dm welcoming you to the team? 🤝🏼 lmk",Books,"1:24 PM · Feb 12, 2025",https://x.com/DaoKwonDo/status/1889742513889583496?s=20,1
,25,"🚨Hiring: DM SETTER🚨

You need to be a savage & not cry about working 6 - 7 days a week or doing outbound to get your calls up

You get:
👉 100+ daily inbound leads
👉 High-Performing Sales Team
👉 $6k - $10k+ OTE (assuming you perform)
👉 Daily Training & coaching

Application link below this tweet👇🏽
Apply below to secure a spot on our offers doing $300k - $500k+/mo
https://docs.google.com/forms/d/e/1FAIpQLSfrruIbC9r3-43Ci5RNYZjUdPDrAGxBkHhxf43WYQJhiKN5MA/viewform",Jeremy Moser,"10:59 AM · Oct 3, 2025",https://x.com/jeremynickmoser/status/1974127116871512570?s=20,2
